Subcategoria id,Categoria id,Categoria,Tipo de Tamanho id,Ordem,Imagem
2RVvPp0.RkGZ5pU96ojFMQ,2L75YK-NQhCO3CYlFwNiGA,Escadas,4fbKznm1SBK0oo9kp.oM7Q,15,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/fxBADVtiplkQBkyQMCYK.png
ShcXyXTaQxuz3UrXVmCbdg,DbmqrHlzRHCl25L7ycxNqA,Dispenser de Copos,MffGbntoQ-23RGb9BSs8yg,4,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/4QkPCjkPCeWPhyfFp6cZ.png
bi0.J-t.TMCghS7Pm1hlqA,U81KVgVVTY2jgHJe0TyiAA,Higiene Pessoal,PZOwW1.1ROSiob7KmFoQKw,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/1ZDmpdujp9MY24RiW466.png
5.P4DET5Qr-qBqNKl3IhGA,2L75YK-NQhCO3CYlFwNiGA,Varais,4fbKznm1SBK0oo9kp.oM7Q,16,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/sgf3cT0OgN1rS6S48Tpm.png
9gbrlDinTFaMRlnCmisUsg,Ogk4f-iiQO-Kqng-9IgsuA,Cabos e Extensores,ViU2USNJRHq0ozZts2ayIg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/k5ePNgyqHdweSOnYGOGU.png
7uo2lGaLQwqcxizU9UAnBg,Ogk4f-iiQO-Kqng-9IgsuA,Odorizadores,ViU2USNJRHq0ozZts2ayIg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/rIWv3Dw71TKCBF6hnY5m.png
DXcI6tdySWKHFBjFwAIp3A,Ogk4f-iiQO-Kqng-9IgsuA,Inseticidas,PLGJ9BE8T-yMHTCizStmhg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/MvRJktPeQCG5ocOYNZde.png
XOZbJUItSVaOsxMfQ8INGg,2L75YK-NQhCO3CYlFwNiGA,Utilidades Geral,4fbKznm1SBK0oo9kp.oM7Q,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/GADLzQyc4JMYDCLVx0iD.png
GQwRsO4oQU-ICiVvHwXmEA,2L75YK-NQhCO3CYlFwNiGA,Mesas de Passar,4fbKznm1SBK0oo9kp.oM7Q,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/U8hFxS7usKxMTQhs6yAY.png
HXzi84v.Qbm8n44DmUf4xA,Ogk4f-iiQO-Kqng-9IgsuA,Caixas e Gaveteiros,ViU2USNJRHq0ozZts2ayIg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/TjUwmIu8ANGga2gYFE8T.png
WmMZ2av4Rk6XDx4-00AzrQ,2L75YK-NQhCO3CYlFwNiGA,EPI's,4fbKznm1SBK0oo9kp.oM7Q,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/XKUIXUMKJAtLlMpLpLDZ.png
ootChJ4sT-2IQOYzKDsJjQ,Ogk4f-iiQO-Kqng-9IgsuA,Toalhas de Banho,ViU2USNJRHq0ozZts2ayIg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/fdYlfRfGmFuvikU6AkDo.png
dDr7AOibTymeEmU32DZ8zg,m1kvokUKQTGD4e7OjGYWIQ,Inox e Alumínio,OVY3BHlhR4ebyIZM4nNGFg,3,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/dkAiqOfDMgHLrtblqQXO.png
4kJ2gTgdS.CjDPV3C9zwyw,Ogk4f-iiQO-Kqng-9IgsuA,Guarda-Chuvas ,PLGJ9BE8T-yMHTCizStmhg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/JVIfvf7vsrkrZQQXRAQi.jpg
dMFFmovvSGGkUmQ-lLiTkw,amq3OoM8RbGB5T6DifbA5g,"Fones Ouvidos 
",PLGJ9BE8T-yMHTCizStmhg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/Z14ZJWRc2cOcpZ6d1kpv.jpg
a-sjSu9cjQDiRAJ-5TqeUFQ,amq3OoM8RbGB5T6DifbA5g,Carregadores ,PLGJ9BE8T-yMHTCizStmhg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/8okq60k6fkVFqTv1UpAS.jpg
8lIkluFVQDG6LH1SpuZs7g,amq3OoM8RbGB5T6DifbA5g,Bateria,PLGJ9BE8T-yMHTCizStmhg,,https://storage.googleapis.com/glide-prod.appspot.com/uploads-v2/JZGLUuFkN4xCgqMUAHq8/pub/uivBMYxuxR8nWKcKjTrv.jpg
