Tamanho id,Cat Tamanho id,Tamanhos,Ordem
Z0KWv-dKS9Kdeio5mX4j3w,ViU2USNJRHq0ozZts2ayIg,240ml,
rGSKNajMQYiBBbl-AaYuIw,ViU2USNJRHq0ozZts2ayIg,120ml,
iVqLvu3cTjC3zZxIw1bLLA,4fbKznm1SBK0oo9kp.oM7Q,"1,5""",
k-cZ0NXXTzShKU5MEvHByA,4fbKznm1SBK0oo9kp.oM7Q,"2""",
Sbur0qAMSASbHNzKw50DFA,4fbKznm1SBK0oo9kp.oM7Q,"3""",
6k8t-bLZQ9KyFOhxIVXDng,4fbKznm1SBK0oo9kp.oM7Q,"4""",
QEG5997qSDup9NWbQKhYxQ,4fbKznm1SBK0oo9kp.oM7Q,"5""",
SzeWIJ.pTViapjTkxrLv0A,4fbKznm1SBK0oo9kp.oM7Q,Com Stop,
njFy66WuRSifmzNjuJ49xg,4fbKznm1SBK0oo9kp.oM7Q,Sem Stop,
2CrDTRRXR8aE649SefswJQ,4fbKznm1SBK0oo9kp.oM7Q,"3,5L",
Nav8DkjkQhyCeV66OITsYA,Nlfwazk9RPKFunUcFg8mTA,"1,5M",
RLiceBKgT-KktZnoIqsLqA,Nlfwazk9RPKFunUcFg8mTA,2M,
uYqM890gRYKU84wshOc3UA,Nlfwazk9RPKFunUcFg8mTA,"2,5M",
5tQHXJ-ZQ-aHGJW5wiexKA,Nlfwazk9RPKFunUcFg8mTA,3M,
B1DTASYwQdaZdeym1nGHCQ,PZOwW1.1ROSiob7KmFoQKw,120ml,
fnuLeePiQsi5bcEwrHDX9w,PZOwW1.1ROSiob7KmFoQKw,"1,3Kg",
3uSg-Yg2Q2a3cud8T4qWrA,ViU2USNJRHq0ozZts2ayIg,65x130cm,
Yc1GHYPbR.yi7XihwHSBOg,ViU2USNJRHq0ozZts2ayIg,269ml,
5qycMjTbTjK7ljuwQzad8Q,Nlfwazk9RPKFunUcFg8mTA,40cmX60cm,
7dQzy-J0RNChC455L1MJFA,Nlfwazk9RPKFunUcFg8mTA,50cmX80cm,
Tr74yKyqSJuLqssx9QL3SA,Nlfwazk9RPKFunUcFg8mTA,"70cmX1,30m",
7Oe5C1GJTzatwoHdVfkfdg,4fbKznm1SBK0oo9kp.oM7Q,60x80cm Porcelanato,
Oz7XUVYeTxSSyMLE57YTaQ,4fbKznm1SBK0oo9kp.oM7Q,50x70 Lisa,
1ExXvA-3QLaeAtiuQOy4dw,4fbKznm1SBK0oo9kp.oM7Q,50X90cm Lisa,
a-gxHI6X2QR6ZSZVv5rMM7g,4fbKznm1SBK0oo9kp.oM7Q,60X100cm Lisa,
Glq6iJXWSteQrcFP1738eA,4fbKznm1SBK0oo9kp.oM7Q,80x100cm Lisa,
qo.S8ljORxGKndrQWFCTSg,4fbKznm1SBK0oo9kp.oM7Q,40X40cm,
uubq3QCuRIW-YfJaOm9TBA,4fbKznm1SBK0oo9kp.oM7Q,15L,
UFYeQA-zQjuO09NFDzIUOA,OVY3BHlhR4ebyIZM4nNGFg,450ml,
fyMx0XOTQCiEF6.2Bcxk7g,4fbKznm1SBK0oo9kp.oM7Q,28X40cm,
GpI353FJTPykcs6TTzh3ag,4fbKznm1SBK0oo9kp.oM7Q,38X60cm,
YIS2Hs69TjyxZ5kdNlssmg,kSgfbo3eS7iVX4KjN7Bb2Q,FARDO C/ 5 PACOTES,
a.SSyQfJjS6-0fr4-hpl1mw,PZOwW1.1ROSiob7KmFoQKw,3L,
yNJ8YxIPTWOzq0R0YEzOyg,PZOwW1.1ROSiob7KmFoQKw,"1,6kg",
Y1ZtUZqJTniLIVYFYR2gVw,4fbKznm1SBK0oo9kp.oM7Q,LC350,
koT4d6oiQlyySa4T84HuKg,4fbKznm1SBK0oo9kp.oM7Q,"LC450
",
yXFRL20xSQa6M7RtecIjbw,ViU2USNJRHq0ozZts2ayIg,"54,5 LTS",
